Data,Close,high,low
2023/4/27,14540$,26000$,5000$
2023/4/28,9050$,26000$,5000$
2023/4/29,14530$,26000$,5000$
2023/4/30,21260$,26000$,5000$
2023/5/3,3710$,26000$,5000$
2023/5/4,7460$,26000$,5000$
2023/5/5,9830$,26000$,5000$
2023/5/6,26210$,26000$,5000$
2023/5/7,24050$,26000$,5000$
2023/5/10,12180$,26000$,5000$
2023/5/11,7430$,26000$,5000$
2023/5/12,16000$,26000$,5000$
2023/5/13,16490$,26000$,5000$
2023/5/18,6530$,26000$,5000$
2023/5/19,11190$,26000$,5000$
2023/5/20,15300$,26000$,5000$
2023/5/21,20280$,26000$,5000$
2023/5/24,10490$,26000$,5000$
2023/5/25,8120$,26000$,5000$
2023/5/26,6110$,26000$,5000$
2023/5/27,15690$,26000$,5000$
2023/5/28,9790$,26000$,5000$
2023/5/31,9200$,26000$,5000$
2023/6/1,9130$,26000$,5000$
2023/6/2,15010$,26000$,5000$
2023/6/3,17530$,26000$,5000$
2023/6/4,25110$,26000$,5000$
2023/6/7,6120$,26000$,5000$
2023/6/8,10680$,26000$,5000$
2023/6/9,8350$,26000$,5000$
2023/6/10,23460$,26000$,5000$
2023/6/11,20460$,26000$,5000$
2023/6/14,10470$,26000$,5000$
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
