Data,Close,Noon (general schedule),,,Noon (scale),,,,,,,人數
2023/4/27,14540$,溫體牛肉,$350,2,溫體牛肉,玉米,芥蘭炒牛肉,炒牛肉麵,,,,2
2023/4/28,9050$,溫體牛肉3+1,"$1,100",,溫體牛肉湯,溫體牛肉湯,高麗菜炒牛肉,,,,,2
2023/4/29,14530$,牛三層肉,$450,,溫體牛肉,加肉,芥蘭炒牛肉,,,,,2
2023/4/30,21260$,加肉,$350,1,溫體牛肉湯,蒜頭炒牛肉,滑蛋炒牛肉,,,,,1
2023/5/3,3710$,牛心,$350,,綜合湯,炒牛肉麵,,,,,,1
2023/5/4,7460$,牛筋,$150,,,,,,,,,
2023/5/5,9830$,牛雜,$150,,,,,,,,,
2023/5/6,26210$,牛肉貢丸(7粒),$100,,,,,,,,,
2023/5/7,24050$,高麗菜,$50,,,,,,,,,
2023/5/10,12180$,青江菜,$50,,,,,,,,,
2023/5/11,7430$,娃娃菜,$50,,,,,,,,,
2023/5/12,16000$,玉米,$50,1,,,,,,,,
2023/5/13,16490$,綜合菇,$50,,,,,,,,總人數=,8
2023/5/18,6530$,茼蒿,$50,,,,,,,,,
2023/5/19,11190$,溫體牛肉湯,$170,3,,,,,,,,
2023/5/20,15300$,牛三層肉湯,$220,,,,,,,,,
2023/5/21,20280$,牛筋湯,$170,,,,,,,,,
2023/5/24,10490$,牛雜湯,$170,,,,,,,,,
2023/5/25,8120$,牛心湯,$170,,,,,,,,,
2023/5/26,6110$,綜合湯,$220,1,,,,,,,,
2023/5/27,15690$,芥蘭炒牛肉,$200,2,,,,,,,,
2023/5/28,9790$,油菜炒牛肉,$200,,,,,,,,,
2023/5/31,9200$,高麗菜炒牛肉,$200,1,,,,,,,,
2023/6/1,9130$,青椒炒牛肉,$200,,,,,,,,,
2023/6/2,15010$,蒜頭炒牛肉,$200,1,,,,,,,,
2023/6/3,17530$,青蔥炒牛肉,$200,,,,,,,,,
2023/6/4,25110$,洋蔥炒牛肉,$200,,,,,,,,,
2023/6/7,6120$,滑蛋炒牛肉,$200,1,,,,,,,,
2023/6/8,10680$,薑絲炒牛肉,$200,,,,,,,,,
2023/6/9,8350$,三菇炒牛肉,$200,,,,,,,,,
2023/6/10,23460$,炒牛雜,$200,,,,,,,,,
2023/6/11,20460$,金沙苦瓜牛肉,$220,,,,,,,,,
2023/6/14,10470$,薑絲炒牛肚,$200,,,,,,,,,
,,麻油牛心,$320,,,,,,,,,
,,麻油牛腦,$420,,,,,,,,,
,,牛骨隨,$320,,,,,,,,,
,,牛鞭,$320,,,,,,,,,
,,炒牛肉麵,$200,2,,,,,,,,
,,炒牛雜麵,$200,,,,,,,,,
,,,,,,,,,,,,
,,晚上(總表),,,晚上(量表),,,,,,,人數
,,溫體牛肉,$350,1,溫體牛肉湯,溫體牛肉湯,芥蘭炒牛肉,,,,,2
,,溫體牛肉3+1,"$1,100",2,牛三層肉湯,牛雜湯,芥蘭炒牛肉,,,,,1
,,牛三層肉,$450,,牛三層肉湯,芥蘭炒牛肉,,,,,,1
,,加肉,$350,,溫體牛肉湯,油菜炒牛肉,,,,,,1
,,牛心,$350,,溫體牛肉,牛三層肉,高麗菜炒牛肉,,,,,2
,,牛筋,$150,,溫體牛肉3+1,牛肉貢丸(7粒),薑絲炒牛肚,芥蘭炒牛肉,,,,3
,,牛雜,$150,,溫體牛肉湯,溫體牛肉湯,青椒炒牛肉,滑蛋炒牛肉,,,,3
,,牛肉貢丸(7粒),$100,2,溫體牛肉湯,洋蔥炒牛肉,,,,,,2
,,高麗菜,$50,1,溫體牛肉湯,溫體牛肉湯,蒜頭炒牛肉,,,,,2
,,青江菜,$50,,溫體牛肉3+1,牛肉貢丸(7粒),高麗菜,綜合菇,,,,4
,,娃娃菜,$50,,,,,,,,,
,,玉米,$50,,,,,,,,,
,,綜合菇,$50,1,,,,,,,,
,,茼蒿,$50,,,,,,,,,
,,溫體牛肉湯,$170,8,,,,,,,,
,,牛三層肉湯,$220,3,,,,,,,,
,,牛筋湯,$170,,,,,,,,,
,,牛雜湯,$170,1,,,,,,,,
,,牛心湯,$170,,,,,,,,,
,,綜合湯,$220,,,,,,,,,
,,芥蘭炒牛肉,$200,4,,,,,,,,
,,油菜炒牛肉,$200,1,,,,,,,,
,,高麗菜炒牛肉,$200,1,,,,,,,,
,,青椒炒牛肉,$200,1,,,,,,,,
,,蒜頭炒牛肉,$200,1,,,,,,,,
,,青蔥炒牛肉,$200,,,,,,,,,
,,洋蔥炒牛肉,$200,1,,,,,,,,
,,滑蛋炒牛肉,$200,1,,,,,,,,
,,薑絲炒牛肉,$200,,,,,,,,,
,,三菇炒牛肉,$200,,,,,,,,,
,,炒牛雜,$200,,,,,,,,,
,,金沙苦瓜牛肉,$220,,,,,,,,,
,,薑絲炒牛肚,$200,1,,,,,,,,
,,麻油牛心,$320,,,,,,,,,
,,麻油牛腦,$420,,,,,,,,,
,,牛骨隨,$320,,,,,,,,總人數=,21
,,牛鞭,$320,,,,,,,,,
,,炒牛肉麵,$200,,,,,,,,,
,,炒牛雜麵,$200,,,,,,,,,
