Date,,menu,count,Number of people
2023/4/27,,溫體牛肉=Warm beef,40,39
2023/4/28,,溫體牛肉3+1=Warm-bodied beef 3+1,58,29
2023/4/29,,牛三層肉=Beef three-layer beef,24,38
2023/4/30,,加肉=Add meat,34,65
2023/5/3,,牛心=beef heart,0,10
2023/5/4,,牛筋=beef tendon,0,25
2023/5/5,,牛雜=Beef Offal,0,29
2023/5/6,,牛肉貢丸(7粒)=Beef meatballs (7 pieces),10,58
2023/5/7,,高麗菜=cabbage,15,75
2023/5/10,,青江菜=Qingjiang cuisine,24,36
2023/5/11,,娃娃菜=Baby cabbage,10,24
2023/5/12,,玉米=corn,8,40
2023/5/13,,綜合菇=Comprehensive mushrooms,15,56
2023/5/18,,茼蒿=Comprehensive mushrooms,0,23
2023/5/19,,溫體牛肉湯=Warming beef soup,42,31
2023/5/20,,牛三層肉湯=Beef three-layer broth,34,40
2023/5/21,,牛筋湯=Beef tendon soup,5,55
2023/5/24,,牛雜湯=Beef Offal Soup,0,23
2023/5/25,,牛心湯=Beef heart soup,0,26
2023/5/26,,綜合湯=Comprehensive soup,10,19
2023/5/27,,芥蘭炒牛肉=Stir-fried beef with kale,12,43
2023/5/28,,油菜炒牛肉=Stir-fried beef with rapeseed,19,30
2023/5/31,,高麗菜炒牛肉=Stir-fried beef with cabbage,29,29
2023/6/1,,青椒炒牛肉=Stir-fried beef with green pepper,34,33
2023/6/2,,蒜頭炒牛肉=Stir-fried beef with garlic,23,35
2023/6/3,,青蔥炒牛肉=Stir-fried beef with green onions,40,51
2023/6/4,,洋蔥炒牛肉=Stir-fried beef with onions,26,70
2023/6/7,,滑蛋炒牛肉=Stir-fried beef with smooth eggs,35,16
2023/6/8,,薑絲炒牛肉=Stir-fried beef with shredded ginger,28,25
2023/6/9,,三菇炒牛肉=Stir-fried beef with three mushrooms,24,23
2023/6/10,,炒牛雜=Fried beef offal,0,55
2023/6/11,,金沙苦瓜牛肉=Jinsha Bitter Gourd Beef,2,67
2023/6/14,,薑絲炒牛肚=Stir-fried beef tripe with shredded ginger,10,29
,,麻油牛心=Beef heart with sesame oil,4,
,,麻油牛腦=Sesame oil beef brain,7,
,,牛骨隨=Beef bone marrow,2,
,,牛鞭=bullwhip,0,
,,炒牛肉麵=Fried beef noodles,4,
,,炒牛雜麵=Stir-fried Beef Noodles,5,
