Year and month,Population increase [person],Natural increase [person],Number of births [person],Deaths [person],social increase [person],"
Number of immigrants [person]",Move out number [person],Population growth rate [per thousand],Natural rate of increase [per thousand],Crude birth rate [per thousand],Crude death rate [per thousand],Social increase rate [per thousand],"Immigrant rate [per thousand]
",Emigration rate [per thousand],Total population mobility [per thousand]
Jan-98,1625,1493,2416,923,132,19378,19246,7.36,6.76,10.94,4.18,0.6,87.78,87.18,174.96
Feb-98,924,1381,2769,1388,-457,29161,29618,4.63,6.92,13.88,6.96,-2.29,146.17,148.46,294.64
Mar-98,4719,1477,2717,1240,3242,28014,24772,21.36,6.68,12.29,5.61,14.66,126.7,112.03,238.73
Apr-98,3066,1338,2335,997,1728,23165,21437,14.32,6.24,10.9,4.65,8.06,108.1,100.03,208.13
May-98,3419,1379,2293,914,2040,24420,22380,15.43,6.22,10.34,4.12,9.2,110.14,100.94,211.08
Jun-98,9925,1545,2528,983,8380,36867,28487,46.23,7.18,11.75,4.57,38.96,171.38,132.43,303.81
1998/7/1,6139,1377,2447,1070,4762,32457,27695,27.57,6.18,10.97,4.8,21.36,145.57,124.21,269.78
1998/8/1,2920,1533,2494,961,1387,29736,28349,13.08,6.86,11.17,4.3,6.21,133.14,126.93,260.06
1998/9/1,2133,1471,2401,930,662,26475,25813,9.86,6.8,11.1,4.3,3.06,122.37,119.31,241.68
1998/10/1,2161,1613,2578,965,548,21974,21426,9.66,7.21,11.52,4.31,2.45,98.21,95.76,193.97
1998/11/1,3041,1553,2527,974,1488,16401,14913,14.04,7.17,11.66,4.49,6.87,75.67,68.8,144.47
Dec-98,1374,1669,2698,1029,-295,28617,28912,6.13,7.45,12.04,4.59,-1.32,127.67,128.98,256.65
Jan-99,526,1304,2383,1079,-778,24837,25615,2.35,5.82,10.63,4.81,-3.47,110.76,114.23,224.99
Feb-99,-363,1208,2180,972,-1571,20983,22554,-1.79,5.96,10.76,4.8,-7.76,103.6,111.35,214.95
Mar-99,183,1754,3023,1269,-1571,29572,31143,0.82,7.82,13.48,5.66,-7.01,131.88,138.89,270.76
Apr-99,-60,1542,2711,1169,-1602,24160,25762,-0.28,7.11,12.49,5.39,-7.38,111.33,118.71,230.05
May-99,-211,1697,2662,965,-1908,24878,26786,-0.94,7.57,11.87,4.3,-8.51,110.95,119.46,230.41
Jun-99,308,1647,2661,1014,-1339,26865,28204,1.42,7.59,12.26,4.67,-6.17,123.8,129.97,253.77
Jul-99,-4,1681,2683,1002,-1685,26526,28211,-0.02,7.5,11.96,4.47,-7.51,118.29,125.8,244.09
Aug-99,-1149,1641,2658,1017,-2790,26964,29754,-5.12,7.32,11.86,4.54,-12.44,120.27,132.71,252.98
Sep-99,-920,1678,2604,926,-2598,23855,26453,-4.24,7.74,12.01,4.27,-11.98,109.99,121.97,231.96
88年10月,-45,1667,2743,1076,-1712,22074,23786,-0.2,7.44,12.24,4.8,-7.64,98.51,106.16,204.67
88年11月,1665,1768,2821,1053,-103,19110,19213,7.68,8.15,13.01,4.85,-0.47,88.1,88.58,176.68
88年12月,1443,1556,2683,1127,-113,20987,21100,6.44,6.94,11.96,5.03,-0.5,93.58,94.08,187.66
89年1月,2028,1472,2647,1175,556,19929,19373,9.06,6.58,11.83,5.25,2.48,89.05,86.56,175.61
89年2月,2253,1409,2431,1022,844,17899,17055,10.75,6.72,11.6,4.88,4.03,85.42,81.39,166.82
